Datum;Preis
3/5/2022;111.30
4/5/2022;109.40
5/5/2022;109.20
6/5/2022;108.23
9/5/2022;105.00
10/5/2022;101.90
11/5/2022;104.90
12/5/2022;102.37
13/5/2022;103.30
16/5/2022;101.70
17/5/2022;102.00
18/5/2022;101.50
19/5/2022;97.26
20/5/2022;99.80
23/5/2022;99.40
24/5/2022;98.90
25/5/2022;100.50
27/5/2022;103.81
30/5/2022;104.20
31/5/2022;112.20
1/6/2022;111.10
2/6/2022;111.30
3/6/2022;113.00
7/6/2022;117.23
8/6/2022;115.53
9/6/2022;114.50
10/6/2022;116.53
13/6/2022;115.10
14/6/2022;114.80
15/6/2022;114.41
16/6/2022;-
17/6/2022;116.32
20/6/2022;114.06
21/6/2022;115.10
22/6/2022;112.50
23/6/2022;114.30
24/6/2022;113.90
27/6/2022;113.90
28/6/2022;114.00
29/6/2022;111.93
30/6/2022;113.20
1/7/2022;113.98
4/7/2022;113.42
5/7/2022;115.30
6/7/2022;113.04
7/7/2022;111.75
8/7/2022;115.87
11/7/2022;118.39
12/7/2022;121.43
13/7/2022;123.60
14/7/2022;124.36
15/7/2022;125.70
18/7/2022;125.10
19/7/2022;124.10
20/7/2022;123.80
21/7/2022;123.30
22/7/2022;123.00
25/7/2022;122.60
26/7/2022;124.72
27/7/2022;124.09
28/7/2022;125.22
29/7/2022;126.06
1/8/2022;123.75
2/8/2022;121.70
3/8/2022;121.30
4/8/2022;122.06
5/8/2022;119.45
8/8/2022;119.70
9/8/2022;120.10
10/8/2022;121.02
11/8/2022;123.90
12/8/2022;125.36
15/8/2022;-
16/8/2022;124.46
17/8/2022;124.50
18/8/2022;126.90
19/8/2022;128.30
22/8/2022;131.00
23/8/2022;131.50
24/8/2022;136.00
25/8/2022;137.90
26/8/2022;138.00
29/8/2022;137.90
30/8/2022;138.94
31/8/2022;137.16
1/9/2022;131.35
2/9/2022;132.50
5/9/2022;138.32
6/9/2022;133.91
7/9/2022;132.59
8/9/2022;132.09
9/9/2022;129.82
12/9/2022;128.90
13/9/2022;127.50
14/9/2022;120.50
15/9/2022;114.77
16/9/2022;114.50
19/9/2022;113.50
20/9/2022;115.10
21/9/2022;118.20
22/9/2022;117.60
23/9/2022;116.56
26/9/2022;114.11
27/9/2022;113.50
28/9/2022;113.10
29/9/2022;114.80
30/9/2022;114.48
4/10/2022;118.00
5/10/2022;117.60
6/10/2022;121.16
7/10/2022;121.70
10/10/2022;122.82
11/10/2022;116.21
12/10/2022;117.00
13/10/2022;116.30
14/10/2022;116.60
17/10/2022;116.25
18/10/2022;115.80
19/10/2022;113.60
20/10/2022;114.23
21/10/2022;111.70
24/10/2022;111.80
25/10/2022;111.70
26/10/2022;111.46
27/10/2022;112.30
28/10/2022;114.02
31/10/2022;113.00
1/11/2022;-
2/11/2022;104.20
3/11/2022;105.20
4/11/2022;108.09
7/11/2022;105.06
8/11/2022;103.82
9/11/2022;101.50
10/11/2022;100.00
11/11/2022;99.03
14/11/2022;99.46
15/11/2022;97.00
16/11/2022;98.50
17/11/2022;97.10
18/11/2022;96.10
21/11/2022;96.69
22/11/2022;96.70
23/11/2022;95.70
24/11/2022;93.06
25/11/2022;93.16
28/11/2022;90.60
29/11/2022;90.86
30/11/2022;93.60
1/12/2022;95.13
2/12/2022;94.46
5/12/2022;93.43
6/12/2022;89.86
7/12/2022;88.10
8/12/2022;85.93
9/12/2022;86.30
12/12/2022;85.60
13/12/2022;88.90
14/12/2022;90.10
15/12/2022;93.40
16/12/2022;93.65
19/12/2022;91.20
20/12/2022;89.50
21/12/2022;90.10
22/12/2022;91.70
23/12/2022;91.53
27/12/2022;92.90
28/12/2022;93.33
29/12/2022;91.90
30/12/2022;93.55
2/1/2023;94.70
3/1/2023;94.09
4/1/2023;89.50
5/1/2023;89.90
6/1/2023;
9/1/2023;91.26
10/1/2023;89.30
11/1/2023;89.65
12/1/2023;89.80
13/1/2023;89.75
